Country name,Region,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
Nepal,Asia,2023,5.389,8.318,0.749,62.4,0.765,0.184,0.792
Pakistan,Asia,2014,5.436,8.39,0.552,55.54,0.543,0.131,0.677
Pakistan,Asia,2015,4.823,8.423,0.562,55.8,0.587,0.076,0.717
Pakistan,Asia,2016,5.549,8.465,0.627,56.075,0.634,0.084,0.793
Pakistan,Asia,2017,5.831,8.495,0.69,56.35,0.713,0.035,0.714
Pakistan,Asia,2018,5.472,8.54,0.685,56.625,0.773,0.058,0.799
Pakistan,Asia,2019,4.443,8.548,0.617,56.9,0.685,0.112,0.776
Pakistan,Asia,2020,4.624,8.518,0.594,57.175,0.767,0.003,0.833
Pakistan,Asia,2021,4.487,8.563,0.608,57.45,0.764,0.007,0.743
Pakistan,Asia,2022,4.931,8.604,0.59,57.725,0.745,0,0.865
Pakistan,Asia,2023,4.549,8.588,0.553,58,0.661,0.07,0.889
Philippines,Asia,2014,5.313,8.842,0.813,61.84,0.902,-0.02,0.787
Philippines,Asia,2015,5.547,8.887,0.854,61.9,0.912,-0.056,0.755
Philippines,Asia,2016,5.431,8.938,0.821,61.925,0.908,-0.076,0.792
Philippines,Asia,2017,5.594,8.987,0.851,61.95,0.926,-0.146,0.711
Philippines,Asia,2018,5.869,9.032,0.846,61.975,0.918,-0.112,0.726
Philippines,Asia,2019,6.268,9.075,0.845,62,0.91,-0.087,0.748
Philippines,Asia,2020,5.08,8.958,0.781,62.025,0.932,-0.114,0.744
Philippines,Asia,2021,5.965,8.999,0.778,62.05,0.905,-0.012,0.721
Philippines,Asia,2022,5.995,9.057,0.819,62.075,0.952,-0.155,0.757
Philippines,Asia,2023,6.184,9.102,0.796,62.1,0.932,-0.038,0.768
Qatar,Asia,2015,6.375,11.532,,66.4,,,
Russia,Asia,2014,6.037,10.168,0.932,62.26,0.744,-0.27,0.869
Russia,Asia,2015,5.996,10.146,0.924,62.7,0.685,-0.177,0.913
Russia,Asia,2016,5.855,10.146,0.911,63.075,0.714,-0.187,0.925
Russia,Asia,2017,5.579,10.163,0.896,63.45,0.731,-0.151,0.862
Russia,Asia,2018,5.514,10.191,0.909,63.825,0.729,-0.153,0.865
Russia,Asia,2019,5.441,10.213,0.91,64.2,0.715,-0.122,0.848
Russia,Asia,2020,5.495,10.188,0.887,64.575,0.714,-0.078,0.823
Russia,Asia,2021,5.448,10.247,0.862,64.95,0.671,0.053,0.808
Russia,Asia,2022,6.044,10.225,0.92,65.325,0.776,-0.074,0.767
Russia,Asia,2023,5.865,10.209,0.854,65.7,0.75,0.056,0.733
Singapore,Asia,2014,7.062,11.382,0.822,73.02,0.835,0.148,0.133
Singapore,Asia,2015,6.62,11.399,0.866,73.2,0.887,0.144,0.099
Singapore,Asia,2016,6.033,11.422,0.925,73.3,0.904,0.137,0.047
Singapore,Asia,2017,6.378,11.465,0.897,73.4,0.926,0.129,0.162
Singapore,Asia,2018,6.375,11.496,0.903,73.5,0.916,-0.073,0.097
Singapore,Asia,2019,6.378,11.497,0.925,73.6,0.938,0.02,0.07
Singapore,Asia,2021,6.587,11.587,0.876,73.8,0.879,0.06,0.145
Singapore,Asia,2022,6.333,11.59,0.852,73.9,0.873,0.088,
Singapore,Asia,2023,6.654,,0.916,74,0.861,,0.153
South Korea,Asia,2014,5.801,10.544,0.738,71.78,0.623,-0.049,0.834
South Korea,Asia,2015,5.78,10.567,0.768,72,0.616,-0.041,0.841
South Korea,Asia,2016,5.971,10.592,0.811,72.275,0.591,0.02,0.862
South Korea,Asia,2017,5.874,10.62,0.807,72.55,0.538,0.008,0.851
South Korea,Asia,2018,5.84,10.645,0.798,72.825,0.6,-0.095,0.797
South Korea,Asia,2019,5.903,10.663,0.783,73.1,0.706,-0.061,0.718
South Korea,Asia,2020,5.793,10.655,0.808,73.375,0.711,-0.112,0.665
South Korea,Asia,2021,6.113,10.697,0.811,73.65,0.717,-0.033,0.685
South Korea,Asia,2022,5.95,10.725,0.81,73.925,0.723,0.002,0.747
South Korea,Asia,2023,6.112,10.742,0.799,74.2,0.762,-0.004,0.714
Sri Lanka,Asia,2014,4.268,9.373,0.805,66.12,0.868,0.291,0.791
Sri Lanka,Asia,2015,4.612,9.41,0.863,66.6,0.902,0.312,0.859
Sri Lanka,Asia,2017,4.331,9.514,0.823,66.8,0.827,0.083,0.844
Sri Lanka,Asia,2018,4.435,9.529,0.833,66.9,0.859,0.096,0.856
Sri Lanka,Asia,2019,4.213,9.521,0.815,67,0.824,0.043,0.863
Sri Lanka,Asia,2020,4.778,9.468,0.842,67.1,0.803,-0.05,0.768
Sri Lanka,Asia,2021,4.103,9.492,0.812,67.2,0.771,-0.013,0.849
Sri Lanka,Asia,2022,3.985,9.409,0.825,67.3,0.74,0.038,0.9
Sri Lanka,Asia,2023,3.602,9.364,0.79,67.4,0.754,0.05,0.922
Syria,Asia,2015,3.462,8.492,0.464,56.3,0.448,0.036,0.685
Taiwan Province of China,Asia,2014,6.363,10.749,0.87,,0.693,0.089,0.866
Taiwan Province of China,Asia,2015,6.45,10.779,0.885,,0.701,0.017,0.857
Taiwan Province of China,Asia,2016,6.513,10.768,0.895,,0.719,-0.049,0.811
Taiwan Province of China,Asia,2017,6.359,10.774,0.891,,0.76,-0.07,0.743
Taiwan Province of China,Asia,2018,6.467,10.781,0.896,,0.741,-0.179,0.736
Taiwan Province of China,Asia,2019,6.537,10.797,0.893,,0.814,-0.131,0.718
Taiwan Province of China,Asia,2020,6.751,,0.901,,0.799,,0.711
Taiwan Province of China,Asia,2021,6.247,,0.866,,0.818,,0.675
Taiwan Province of China,Asia,2022,6.607,,0.883,,0.8,,0.658
Taiwan Province of China,Asia,2023,6.655,,0.872,,0.795,,0.641
Tajikistan,Asia,2014,4.896,7.958,0.81,61.3,0.853,-0.007,0.698
Tajikistan,Asia,2015,5.124,7.993,0.844,61.4,0.847,0.013,0.742
Tajikistan,Asia,2016,5.104,8.036,0.857,61.55,0.703,0.001,0.632
Tajikistan,Asia,2017,5.829,8.082,0.663,61.7,0.832,0.116,0.718
Tajikistan,Asia,2018,5.497,8.133,0.875,61.85,,-0.074,0.578
Tajikistan,Asia,2019,5.464,8.182,0.88,62,,-0.054,0.49
Tajikistan,Asia,2020,5.373,8.203,0.79,62.15,,-0.054,0.55
Tajikistan,Asia,2021,5.287,8.271,0.883,62.3,,-0.071,0.499
Tajikistan,Asia,2022,5.176,8.328,0.865,62.45,,-0.003,0.397
Tajikistan,Asia,2023,5.379,8.371,0.871,62.6,,-0.054,0.482
Thailand,Asia,2014,6.985,9.649,0.933,67.82,0.9,0.548,0.92
Thailand,Asia,2015,6.202,9.675,0.866,68,0.885,0.312,0.914
Thailand,Asia,2016,6.074,9.705,0.908,68.075,0.924,0.352,0.878
Thailand,Asia,2017,5.939,9.741,0.877,68.15,0.923,0.208,0.884
Thailand,Asia,2018,6.012,9.78,0.873,68.225,0.905,0.255,0.907
Thailand,Asia,2019,6.022,9.798,0.903,68.3,0.898,0.305,0.877
Thailand,Asia,2020,5.885,9.733,0.867,68.375,0.84,0.27,0.918
Thailand,Asia,2021,5.638,9.746,0.883,68.45,0.836,0.29,0.943
Thailand,Asia,2022,6.007,9.77,0.867,68.525,0.881,0.299,0.868
Thailand,Asia,2023,6.282,9.807,0.873,68.6,0.926,0.338,0.889
Turkmenistan,Asia,2014,5.787,9.392,0.909,61.38,0.805,0.029,
Turkmenistan,Asia,2015,5.791,9.437,0.96,61.7,0.701,0.09,
Turkmenistan,Asia,2016,5.887,9.479,0.929,61.8,0.749,0.002,
